"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"KCTD4",7,0,13,0,1,0,3,0,12,2,6,0,1,0,1,3,0,0,0,0,0,13,0
"KCTD5",1008,1556,1969,677,1025,1301,2288,1211,1443,1052,1311,1013,792,899,879,942,865,316,1892,1786,2189,2779,615
"KCTD6",220,417,255,215,177,177,517,157,761,354,374,211,166,219,213,304,377,81,418,448,332,418,219
"KCTD7",300,579,785,480,242,689,617,457,886,484,491,475,226,306,532,330,586,115,541,804,320,1132,55
"KCTD8",1,0,10,0,0,0,0,0,0,0,4,9,0,5,0,0,8,0,0,46,0,0,0
"KCTD9",1252,2097,1897,505,573,1321,3205,572,1865,1375,1384,830,1352,1471,1573,908,927,255,904,1239,1526,1389,286
"KDELC1",164,195,334,152,136,118,310,86,248,151,230,100,181,196,219,145,385,94,475,406,256,389,280
"KDELC2",1391,2302,2606,949,1134,1776,2956,1342,1514,1629,2869,1860,2172,1573,1188,981,1807,22,2402,1467,1804,2157,894
"KDELR1",2526,5268,5278,1700,1972,2573,3667,5530,4817,1654,1948,2900,2827,1790,1698,1817,1127,728,6500,7569,8874,7765,2717
"KDELR2",5663,9728,6476,4341,5850,7857,15558,5395,14347,6651,9237,7577,6142,5794,4652,7034,6010,536,10700,10130,17217,23157,5467
"KDELR3",1069,1708,1144,642,130,482,2708,405,262,718,869,540,1004,668,658,406,523,107,569,427,2392,2580,1058
"KDF1",347,538,506,167,417,352,704,569,651,277,381,230,279,285,209,213,129,21,276,512,290,762,211
"KDM1A",3460,4662,4851,2905,3745,2751,7705,4189,6202,2484,4667,2980,2991,3683,2427,3008,2394,1163,5463,5464,2280,6371,1379
"KDM1B",2198,4494,1832,2165,2371,2105,3146,1662,5470,1379,2017,1712,1557,1184,1929,1546,1314,519,3421,3168,1257,6480,1032
"KDM2A",2808,6829,8795,4722,4065,5918,6141,2974,2897,2467,3731,5187,2606,3131,3173,2346,2890,3431,6832,5477,3838,8865,1690
"KDM2B",849,1823,2849,1399,1356,1315,1676,2019,1551,760,1318,1479,569,916,869,665,954,2499,2279,1349,1079,1392,394
"KDM3A",2226,4941,3156,2779,2581,3327,5745,2552,4395,1477,3235,2490,2743,1918,3579,2752,2415,2250,4688,4431,2628,4707,790
"KDM3B",3613,7057,6534,3242,3778,4336,8419,4839,9032,3012,5480,5037,2959,3509,4871,3310,4807,743,5642,7662,1950,6433,1502
"KDM4A",799,1319,1317,503,904,787,1793,1220,1306,731,868,633,494,768,670,718,694,507,1073,1322,734,1402,331
"KDM4B",669,2602,2312,2376,2006,2449,1574,3582,1709,539,721,1874,957,823,956,617,835,3820,2607,2449,1425,2637,433
"KDM4C",1706,3757,1621,2245,1892,2855,4823,3516,5654,1953,3267,2767,1607,1963,3662,2208,2801,1514,1878,2640,1721,3704,554
"KDM4D",20,29,52,6,0,34,53,18,10,7,14,11,9,10,5,3,26,0,23,16,0,18,0
"KDM4E",0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,18
"KDM4F",0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"KDM5A",3820,6490,5535,4323,6045,4589,9583,4982,9164,3237,6508,4817,3216,4526,3754,4195,5622,1690,4323,5363,4518,4516,2544
"KDM5B",3059,5961,3791,4482,6128,3671,10938,6473,6157,2733,3808,3151,4370,2915,5542,3388,4861,1005,2978,4903,3837,3425,835
"KDM5C",3978,7771,8403,4048,6444,5269,6116,7231,5125,3589,5029,5468,2339,4449,2543,3520,4107,4578,8521,6361,4264,10291,1472
"KDM5D",0,1,0,1082,1,1726,0,0,3122,0,3,0,837,2,2626,693,0,0,1,3296,1,4,2
"KDM6A",2228,5167,2758,1998,3365,2554,4327,2260,2995,2283,3148,3118,1393,2920,1696,2266,2994,721,2283,1498,1808,2446,492
"KDM6B",604,2555,3094,2448,2303,1640,922,2221,1354,314,286,1072,1825,484,812,524,751,2938,2633,1417,409,1381,253
"KDM7A",4796,9566,3560,4884,5499,8349,11856,4645,22280,4005,6225,4456,3791,3824,7926,5884,9198,889,5276,8150,2929,9204,578
"KDM8",110,216,198,66,77,182,241,250,139,88,175,178,44,125,63,118,116,234,261,254,131,162,55
"KDR",410,668,1275,717,813,1927,1950,658,595,1341,1061,679,782,1601,891,575,1535,14,1853,722,554,820,286
"KDSR",1870,3585,3716,1606,1489,1458,1654,1316,2288,905,1432,1271,1120,1933,728,1123,1291,166,2990,2420,1075,2333,1509
"KEAP1",1536,2164,3255,937,1438,1670,3793,1796,2979,1376,1694,1502,1235,1454,861,1411,1431,519,3582,3447,2399,4321,1171
"KEL",8,11,23,6,0,13,3,22,10,1,8,15,3,5,87,2,27,0,13,36,16,0,0
"KERA",6,4,6,32,0,0,7,0,0,2,1,3,1,11,22,4,24,0,0,0,0,0,0
"KHDC1",8,20,244,0,0,8,14,54,1,4,10,10,60,12,11,4,13,77,15,33,0,0,57
"KHDC1L",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHDC3L",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHDC4",2196,4535,3522,1298,4176,2213,4787,2722,6322,2230,3016,3056,1304,1626,4673,2110,2370,577,4291,5337,3240,4215,987
"KHDRBS1",3602,7096,8058,2813,3841,3831,7099,3679,8650,2978,4756,4209,3639,3478,3127,2925,3174,448,7078,6774,3704,7642,3201
"KHDRBS2",0,0,6,0,0,0,9,3,5,3,0,2,1,4,6,1,13,0,11,58,0,0,0
"KHDRBS3",52,63,300,321,677,154,641,270,948,465,417,291,342,502,930,792,1102,18,624,1055,504,1638,109
"KHK",552,727,485,161,263,368,421,221,244,219,341,266,63,280,152,594,304,140,485,672,342,2212,26
"KHNYN",4166,6275,5750,2377,4000,3770,7934,6236,4969,2948,3327,2664,2829,3307,2896,3599,4444,1897,6396,5656,2955,6594,1257
"KHSRP",2470,5598,8266,3233,3465,3865,3962,4646,5571,1806,2399,4470,1995,2467,1768,2080,2090,2208,10651,6516,2540,11497,1625
"KIAA0040",1244,1851,2544,554,494,636,1733,810,1983,786,1226,685,835,962,993,1027,1003,308,1261,1192,656,1528,771
"KIAA0100",7310,15081,11690,6411,9416,9481,12402,8143,12082,6128,9094,8232,3806,6479,5899,4802,7319,2978,12914,15785,2751,13073,1579
"KIAA0232",2098,4046,3143,1495,2050,2143,5156,1429,5650,3109,3712,2836,1969,2279,2618,2265,2658,593,3089,5140,1672,4921,524
"KIAA0319",103,291,179,47,0,117,411,828,86,68,127,102,33,33,101,77,26,74,36,256,132,703,17
"KIAA0319L",1811,3892,3238,2152,3062,3225,5286,5232,5238,1911,3557,3562,1539,1756,2338,2359,1535,1089,3811,4097,3748,4985,1003
"KIAA0355",391,685,743,1120,803,950,1373,1193,1226,430,707,790,341,474,907,442,623,362,1043,1129,383,1004,45
"KIAA0391",264,432,266,220,280,131,684,287,420,176,273,193,190,267,200,273,235,99,293,179,282,192,12
"KIAA0408",2,8,6,42,0,3,7,1,0,4,13,0,5,0,8,4,21,0,0,0,0,0,0
"KIAA0513",448,805,1403,369,419,752,1549,786,442,644,528,585,461,685,302,362,863,304,397,421,376,1558,221
"KIAA0556",716,1798,1498,1244,941,1784,1872,2121,1799,685,1240,1466,559,622,1356,908,1169,958,1242,1794,739,1546,193
"KIAA0586",1120,2296,1099,676,687,1079,2630,1252,1516,755,1126,891,678,1208,1430,1022,1750,337,1235,475,1537,823,210
"KIAA0753",716,1774,1237,848,1566,738,1776,875,1957,433,859,797,545,468,996,417,1244,1044,714,1004,348,790,423
"KIAA0825",147,286,150,199,40,159,582,148,288,157,232,257,88,219,97,131,271,60,103,65,51,22,0
"KIAA0895",398,686,438,191,184,182,377,245,485,241,606,456,254,291,125,328,150,22,222,369,224,289,284
"KIAA0895L",309,719,1349,731,608,592,1004,1223,556,425,386,604,250,296,580,391,402,1555,1334,922,398,881,331
"KIAA0930",1895,2975,4444,2264,1575,2049,3176,1482,1228,1417,2232,1885,1378,2597,2602,1236,1566,2670,3513,2634,1190,4297,1324
"KIAA1109",6500,13273,7300,6277,6178,6475,18783,6447,19851,7619,11607,8023,4740,7258,10859,7282,11355,1947,3886,4398,2558,6905,895
"KIAA1143",1416,1901,1989,958,822,1515,4132,944,4064,1536,2354,1515,1407,1572,1098,1801,1932,94,2288,2373,1858,2411,647
"KIAA1147",478,797,460,796,1003,1015,1377,1274,1789,543,1122,1120,443,547,671,605,624,1314,357,883,273,905,0
"KIAA1191",2017,3546,3844,1273,1679,2015,4242,2135,4445,1651,2729,2131,1563,1418,2043,1886,2045,380,2725,5220,1574,5701,1393
"KIAA1210",1,1,1,0,2,0,1,0,0,0,1,0,0,0,5,1,0,0,0,19,0,0,7
"KIAA1211",845,1412,1114,579,216,641,1717,462,225,610,532,492,403,205,491,361,574,93,286,1016,406,1060,32
"KIAA1211L",236,445,286,402,562,586,1080,489,1229,369,494,387,190,306,563,364,444,335,710,748,614,456,327
"KIAA1217",1300,3711,3056,3921,3112,4619,3306,3761,6154,1700,3403,4636,948,1722,4436,2087,3339,3696,2746,7279,2892,7704,1197
"KIAA1257",66,42,65,263,91,475,352,246,1222,145,116,139,116,238,299,356,537,29,235,257,271,504,77
"KIAA1324",2147,4969,983,1027,1492,2865,18738,17022,845,1404,869,570,5275,2437,59,929,944,231,487,151,7671,2007,2058
"KIAA1324L",446,645,210,610,49,126,277,187,64,580,81,42,39,195,147,399,453,91,86,901,791,159,13
"KIAA1328",325,682,280,273,110,254,493,348,301,227,246,248,183,377,197,168,305,63,96,159,106,186,118
"KIAA1522",2132,7027,4783,1988,3451,4330,3482,6783,5955,1644,1558,3634,1309,1175,2722,1217,726,575,2643,5566,5165,7197,2399
"KIAA1549",399,1234,825,1395,1999,1808,1289,2529,5617,554,1230,1990,666,430,1149,729,1318,478,1195,2626,359,2950,179
"KIAA1549L",123,250,650,234,0,23,33,60,7,12,28,33,119,148,127,17,52,35,92,86,21,422,309
"KIAA1551",3828,7391,6667,2923,1841,4138,7935,2145,4553,2628,6644,3807,5087,5794,4852,3860,5204,2213,4632,3567,2367,3433,807
"KIAA1586",205,283,315,269,171,248,862,258,741,284,498,245,247,330,184,252,500,28,419,499,126,239,64
"KIAA1614",67,121,161,178,17,128,156,110,140,121,72,58,58,99,135,35,141,261,62,145,58,50,0
"KIAA1671",2769,7603,5012,3005,4897,6415,5352,4407,4850,2450,3300,4578,3586,2639,4661,2527,1612,2234,3758,2446,1502,7767,478
"KIAA1755",195,636,650,943,269,788,321,1164,193,296,346,476,68,260,203,135,540,905,578,1169,145,381,27
"KIAA1841",557,1573,874,692,751,655,1693,555,1808,707,1016,967,420,474,781,461,665,72,357,971,527,2060,177
"KIAA1958",603,1624,819,1140,1112,1617,1272,1205,2274,569,1281,1543,491,652,773,554,989,163,1145,1583,303,1069,120
"KIAA2012",17,7,0,5,0,3,21,5,12,18,4,4,2,3,9,17,13,1,42,16,17,41,7
"KIAA2013",2256,3046,2995,1173,1847,2369,4164,2570,3439,2671,2121,1618,1240,1836,1406,1959,1209,941,3785,3503,1861,4400,1554
"KIAA2026",1691,3172,2676,2373,879,1701,3694,2126,4050,1724,2436,2305,1400,2038,2757,1802,2593,1315,2005,3136,2387,3434,799
"KIDINS220",2798,4564,5167,3820,3067,4388,8884,4188,6263,3559,5679,3639,3214,4179,4578,3418,5876,1262,4045,6151,3107,7506,704
"KIF11",2675,4161,3907,455,1196,1585,4253,1335,3682,1403,2797,1847,2504,1809,1480,1166,1424,53,1759,1891,1442,3577,557
"KIF12",177,349,358,733,1306,1231,783,251,2053,237,522,550,57,204,1664,676,974,504,599,1946,952,298,174
"KIF13A",4618,8613,3743,2175,2988,2744,9627,3762,2902,2432,2715,1896,2108,2732,2902,2434,2782,1902,1719,2613,1467,5265,1375
"KIF13B",3323,6221,4292,2791,4475,6135,10636,6543,10964,4433,6642,6382,2198,3304,8080,2721,2853,2551,1513,8633,2870,4894,1147
"KIF14",1235,2104,1436,242,1189,563,2180,537,1707,800,1130,692,927,728,1193,650,781,212,927,793,1123,1468,281
"KIF15",1231,1670,1731,394,604,806,2696,642,1854,878,1569,801,748,877,1055,619,797,296,840,879,1748,1858,449
"KIF16B",1855,3064,1593,2412,2280,2558,5642,2265,2241,1359,3757,2983,1053,1385,5729,2566,1225,672,1734,3506,1458,5775,318
"KIF17",12,16,64,5,17,15,25,1,4,30,17,29,17,14,29,10,19,28,34,31,0,21,5
"KIF18A",718,1239,820,158,257,426,1870,385,1386,450,737,404,763,536,420,252,438,67,276,265,1037,1043,229
"KIF18B",481,1519,1679,420,836,831,552,1083,682,374,310,751,455,369,454,211,142,1268,984,924,584,1899,522
"KIF19",20,32,183,15,40,27,572,308,3,40,14,49,138,54,0,26,19,40,67,0,18,0,2
"KIF1A",17,13,42,34,1,1,23,40,5,3,8,16,0,5,0,14,41,0,0,66,0,10,0
"KIF1B",3713,8952,4956,3206,4499,3805,7020,5675,7097,3318,3946,4518,3050,3344,3893,2753,3004,904,3588,3424,944,5731,667
"KIF1BP",887,1237,1247,444,320,347,1537,563,1029,617,715,556,780,608,517,474,663,148,887,1044,1417,1545,124
"KIF1C",5613,7566,8270,3240,5702,3259,10238,4403,8710,3493,4609,3175,2780,2836,7575,2172,4862,2095,3173,4430,2874,5706,1453
"KIF20A",1203,1779,1138,191,731,407,1598,519,1152,490,1164,636,1224,556,631,446,460,276,678,674,884,1665,260
"KIF20B",2794,4061,3240,511,1078,877,5920,674,4819,1567,2634,1225,2035,2263,2079,1470,2055,25,2382,3144,3020,5824,1063
"KIF21A",1847,2619,1920,890,2344,1037,3984,971,3340,973,2261,1413,1001,1447,515,2028,1366,257,3845,2477,3525,4599,1813
"KIF21B",935,2894,2971,656,6308,1577,1252,2366,4553,641,704,1125,927,709,2128,661,1004,1169,1978,2560,605,4048,237
"KIF22",1592,2446,3830,658,1015,1500,3596,2446,1930,1405,1873,1299,1794,1160,1463,1243,1349,342,3514,2504,3335,2976,986
"KIF23",1483,2418,2448,487,1028,727,2913,557,2219,1040,1511,716,1419,1214,1206,585,592,415,1219,1337,2280,3250,627
"KIF24",401,951,814,248,310,408,1290,985,1118,494,755,748,415,367,708,306,344,140,412,434,811,1077,108
"KIF25",3,0,9,7,215,78,19,11,25,9,29,18,5,17,0,10,5,0,130,15,0,26,0
"KIF26A",35,75,726,86,0,222,451,64,10,230,70,108,74,247,161,229,150,59,142,30,162,910,24
"KIF26B",216,495,280,823,1611,149,200,95,52,93,242,546,100,333,550,30,294,1027,97,315,0,115,1
"KIF27",538,897,543,496,299,364,1511,446,1416,497,795,582,309,490,307,608,613,330,358,752,193,464,55
"KIF2A",2352,5257,4060,1879,3224,2368,5596,1451,6690,2243,5321,4268,1746,2742,2164,2645,3115,211,3463,3306,3331,5147,942
"KIF2B",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIF2C",1125,1741,2656,279,836,957,2909,1223,1892,721,1266,892,1205,992,907,675,556,342,1145,905,2614,3072,673
"KIF3A",515,831,1016,546,471,464,953,288,1051,441,668,557,264,528,399,630,632,278,1068,777,279,1188,646
"KIF3B",2173,3546,4038,4291,4518,5281,4421,3414,5710,2169,4552,4031,1925,2884,3140,3607,3525,1446,5362,10631,4711,13607,1198
"KIF3C",113,229,517,408,27,103,252,734,95,127,228,364,96,209,159,105,166,65,160,630,85,815,66
"KIF4A",1167,1554,1555,320,776,981,3412,611,1665,904,1197,697,1008,1562,746,1015,644,251,1543,1093,1523,4546,243
"KIF4B",3,4,0,0,2,0,6,1,3,0,2,0,0,0,6,1,0,41,1,0,0,5,0
"KIF5A",77,52,133,59,50,9,95,20,106,44,23,7,31,63,89,85,112,31,104,258,7,109,13
"KIF5B",16104,20643,14393,7488,14852,12640,40704,9268,76684,18499,15795,7700,10182,8417,14595,24659,21379,2471,15510,31081,16546,23308,4877
"KIF5C",62,116,210,42,51,33,119,42,21,45,62,48,28,87,17,30,83,0,89,48,69,63,42
"KIF6",8,1,20,5,1,0,14,1,20,4,5,6,4,3,1,14,5,0,9,30,18,13,0
"KIF7",137,208,282,228,103,177,469,469,585,176,91,84,94,160,325,83,126,419,153,192,126,148,27
"KIF9",314,312,262,165,289,285,626,253,568,375,631,313,121,226,129,263,200,140,369,204,426,792,179
"KIFAP3",720,1203,1137,722,744,884,2805,1400,2736,1183,1260,894,682,880,1740,1380,2057,240,1753,1728,1495,2502,242
"KIFC1",499,756,1228,234,312,484,1123,927,613,425,521,415,628,321,364,220,281,173,644,735,1065,1767,293
"KIFC2",808,1620,1417,749,1504,2260,1336,1875,1221,467,612,700,384,659,1159,743,524,2434,810,1050,585,2867,491
"KIFC3",372,631,2724,1091,612,743,518,477,279,552,412,389,425,694,2238,385,741,980,2202,1455,716,374,988
"KIN",447,621,769,382,255,353,1102,345,932,494,694,428,416,439,459,534,554,242,549,728,1015,978,390
"KIR2DL1",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR2DL3",0,0,3,0,0,0,0,0,0,0,3,6,1,0,0,2,0,0,0,0,0,0,0
"KIR2DL4",1,8,23,0,0,9,1,0,0,2,10,23,0,3,0,0,0,0,0,32,0,0,0
"KIR2DS4",0,4,1,0,0,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0
"KIR3DL1",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"KIR3DL2",5,4,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"KIR3DL3",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"KIRREL1",1712,3420,2327,3328,1592,1808,2279,1024,827,1293,992,1179,1092,1371,1115,750,2103,1039,2995,3132,685,1541,155
"KIRREL2",4,4,12,0,0,4,18,0,3,9,10,5,3,1,0,7,10,76,0,0,0,0,0
"KIRREL3",17,7,46,12,2,3,12,5,2,11,1,3,17,15,3,4,41,0,21,27,20,11,0
"KISS1",10,1,5,2,0,0,45,0,23,3,11,6,5,10,30,9,13,0,0,0,14,0,0
"KISS1R",2,1,383,0,0,5,15,2,0,0,1,0,16,11,9,0,3,0,0,0,33,0,50
"KIT",176,352,390,119,496,629,1099,1290,88,354,346,248,81,270,225,394,689,28,349,123,119,421,30
"KITLG",1357,2260,2713,765,1440,1308,3728,654,1226,1539,2091,1324,1769,1080,1141,940,1863,32,1303,822,1639,2154,863
"KIZ",804,1553,622,874,847,566,1094,729,402,376,551,419,390,418,7430,582,528,384,854,784,156,795,212
"KL",4,13,88,14,79,80,158,165,320,127,36,80,22,37,36,55,90,0,68,131,104,13,0
"KLB",6,5,33,1,1,12,38,28,21,22,7,2,25,29,5,18,6,0,16,0,9,36,0
"KLC1",1004,2711,2011,1358,1106,1745,1955,3325,1261,728,733,1272,715,866,1405,961,1382,997,1607,1083,1219,1250,373
"KLC2",431,1060,2274,634,132,453,550,613,334,255,284,569,321,337,242,240,294,907,1491,674,611,1384,328
"KLC3",16,26,264,0,0,13,25,13,7,13,2,0,15,42,8,25,4,0,85,0,10,25,0
"KLC4",1056,1242,1191,899,1069,1477,3184,1842,3321,1250,1444,1012,344,656,863,1583,1113,305,2191,5003,1894,2123,311
"KLF1",9,11,4,0,0,0,12,0,4,8,3,0,0,13,0,5,6,0,0,0,0,0,0
"KLF10",800,1543,3949,2852,660,2167,3179,895,1633,1061,2179,2177,1945,1233,913,2167,1795,264,3821,2498,2056,6095,965
"KLF11",497,999,1248,739,578,457,1621,544,623,404,876,643,509,537,539,712,810,158,775,950,613,996,432
"KLF12",348,584,1485,1696,1881,647,1774,1395,3257,486,669,452,431,884,465,667,1637,52,800,1631,277,163,94
"KLF13",458,1061,1316,188,14,399,681,350,929,299,210,191,141,444,453,139,517,329,1066,222,385,673,157
"KLF14",0,0,1,0,0,0,2,9,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0
"KLF15",12,11,72,0,0,32,48,154,100,60,7,9,58,11,0,20,20,0,48,11,18,8,0
"KLF16",614,879,1091,726,548,904,920,575,1045,490,345,769,400,463,170,709,200,871,1740,1122,937,1478,536
"KLF17",2,3,8,0,1,0,2,6,0,2,1,5,5,2,0,3,0,0,0,17,0,0,38
"KLF18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLF2",177,176,1465,560,97,340,402,313,267,278,194,341,502,702,297,294,364,393,576,221,232,68,348
"KLF3",3669,7905,5734,3309,3342,5218,9197,4189,9422,4251,5760,5109,3433,3285,3367,4220,3549,935,6353,8499,4419,8344,1550
"KLF4",804,1564,6289,1723,520,2334,4506,3821,1821,2142,1769,1724,2991,914,1159,1394,421,781,1369,1817,7616,3994,1581
"KLF5",6282,13553,12077,7531,6396,9806,14789,16643,26020,5882,8583,9116,7755,2671,11186,8065,7031,2817,15550,27383,17653,29593,7146
"KLF6",5082,12638,19302,14262,1856,5510,9310,7142,12003,3176,7457,10487,4427,5277,7383,7637,4160,3464,11332,8696,9623,16991,4727
"KLF7",1362,2702,1255,1716,892,1508,1607,1511,2677,1129,1483,1635,833,1210,1331,1056,1437,766,2633,3084,841,2994,413
"KLF8",72,160,569,324,72,131,274,208,176,147,124,146,76,148,168,123,234,55,307,228,117,76,40
"KLF9",957,1530,1900,1281,477,624,2107,868,928,1033,706,452,1270,1047,610,969,742,955,1761,668,1108,491,528
"KLHDC1",79,113,176,91,32,47,235,53,75,95,88,85,41,113,62,87,149,37,59,65,50,70,21
"KLHDC10",2122,3776,2225,2042,2542,2478,5538,2588,7297,2200,4126,2907,1472,2052,2179,2226,3097,287,2315,3971,1516,5041,400
"KLHDC2",1320,1729,1486,830,1155,1390,4781,1201,1839,1201,1510,761,997,1380,1216,1662,2942,253,2094,2281,3127,1904,624
"KLHDC3",1222,1748,2619,879,1566,1454,2768,2811,1849,1247,2001,1187,1101,1151,908,1008,1437,383,2701,3328,2393,3197,794
"KLHDC4",864,2537,2612,1484,1648,2525,2016,2605,1741,1018,1122,2365,544,788,1488,988,1446,1961,2828,3207,1089,2443,654
"KLHDC7A",14,26,51,49,191,16,52,14,18,48,17,42,38,9,53,0,3,0,1,91,17,5,0
"KLHDC7B",28,83,2536,37,50,48,36,18,1,8,19,66,16,39,18,14,4,101,44,31,7,13,183
"KLHDC8A",9,13,23,1,19,47,4,25,7,5,7,2,16,17,7,6,50,0,56,23,0,0,0
"KLHDC8B",178,287,781,381,85,281,561,223,87,236,241,136,152,345,259,109,248,89,581,430,331,255,359
"KLHDC9",94,138,68,25,101,47,150,86,66,108,73,56,26,102,17,71,87,0,61,158,128,140,88
"KLHL1",4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"KLHL10",2,0,3,2,0,4,4,2,2,4,0,8,3,3,0,1,0,0,0,0,0,0,0
"KLHL11",854,1073,428,616,767,831,1551,599,1538,786,1177,782,738,974,549,692,859,147,392,296,181,732,0
"KLHL12",1266,1997,1563,624,1908,1375,3448,1537,2875,1298,2218,997,768,1249,1891,1142,2212,324,1983,1902,1860,2350,643
"KLHL13",116,187,216,89,131,35,628,54,17,1126,1572,939,426,148,32,160,162,0,52,275,42,1375,21
"KLHL14",6,0,51,0,0,12,18,480,2,14,17,17,11,13,0,5,27,0,37,19,0,0,11
"KLHL15",612,914,664,733,503,761,1148,369,687,517,1176,801,490,804,381,846,638,219,1153,498,590,1174,149
"KLHL17",195,340,1339,132,219,237,200,379,168,215,111,234,135,92,303,156,109,768,517,597,44,284,72
"KLHL18",866,1671,1721,1460,912,1016,1781,928,1059,716,1051,1143,862,939,596,822,726,497,1427,907,615,1637,471
"KLHL2",696,1072,1106,502,759,523,1189,394,878,781,822,538,1306,678,467,535,634,143,1038,1247,482,1069,212
"KLHL20",605,854,1080,623,603,666,1569,591,943,640,773,592,737,670,893,551,888,345,809,1356,660,780,228
"KLHL21",689,1635,2708,1491,1430,1539,1520,1613,1603,930,1245,1664,1033,1062,961,980,1024,1419,1924,1769,565,2031,394
"KLHL22",330,635,728,405,240,478,723,538,261,392,460,495,257,348,382,195,400,610,181,307,296,457,106
"KLHL23",737,1202,1263,913,1550,1671,2907,1024,4529,1093,2460,1508,505,1132,1590,1268,1605,69,1628,3012,546,1960,240
"KLHL24",2354,3679,2651,3644,2062,3267,8070,1999,7426,2973,4921,3407,1740,2734,2452,2880,5124,444,2180,3870,1880,2880,385
"KLHL25",312,813,557,453,870,539,845,674,541,360,224,292,319,244,367,333,212,924,272,677,759,766,515
"KLHL26",120,316,463,323,443,284,280,381,242,91,92,218,95,128,139,113,161,134,475,310,334,470,23
"KLHL28",1292,2189,1108,785,1002,1029,2584,830,926,720,1001,737,809,998,796,1206,1203,182,867,625,1252,652,466
"KLHL29",129,351,982,499,463,665,204,971,840,359,282,534,71,88,125,374,580,619,1273,790,231,1792,137
"KLHL3",503,989,432,712,781,181,727,204,696,320,207,299,97,158,476,121,457,258,423,566,214,833,72
"KLHL30",17,8,17,1,89,49,24,31,40,13,5,0,5,8,47,16,16,0,13,10,32,28,0
"KLHL31",23,76,19,55,83,144,200,110,224,38,134,91,37,34,19,58,139,125,202,87,134,310,58
"KLHL32",25,49,39,136,21,54,958,1045,315,42,66,26,599,34,10,83,82,0,83,82,312,135,0
"KLHL33",3,0,7,13,0,5,15,5,5,5,7,0,2,11,0,5,23,0,0,0,6,0,0
"KLHL34",1,1,18,0,0,27,75,2,75,18,7,3,1,5,34,75,40,0,53,252,0,6,0
"KLHL35",57,58,35,47,108,59,149,117,92,43,36,22,33,56,380,173,119,82,84,36,89,194,0
"KLHL36",1382,2296,2955,2284,2688,2948,3711,3507,4659,2509,3077,2440,1574,1758,1884,2055,3402,609,3321,3129,1303,3625,374
"KLHL38",4,6,23,2,0,1,3,2,1,1,3,0,2,5,0,1,3,0,22,25,0,21,0
"KLHL4",18,23,52,30,0,37,47,20,8,24,21,13,14,49,43,18,119,0,82,22,0,19,65
"KLHL40",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"KLHL41",5,10,3,8,0,31,23,19,25,14,4,7,7,7,22,5,29,0,0,9,15,0,0
"KLHL42",1270,2329,2297,1883,2777,2044,2512,1309,4208,1341,2292,1539,1446,1444,1862,1499,2231,618,2555,2699,1841,2480,684
"KLHL5",611,1138,2849,1305,475,787,1419,321,365,1543,1526,1221,1237,1386,747,791,1868,301,2813,1088,506,1114,548
"KLHL6",785,1154,1921,505,359,544,1332,435,104,417,903,857,423,976,711,642,647,1981,652,135,77,232,445
"KLHL7",511,876,819,534,316,501,1340,496,789,647,866,455,260,684,691,558,1001,170,892,797,467,2178,522
"KLHL8",1036,1838,1145,566,935,1179,2419,551,2076,1074,1518,1077,813,1162,635,889,1201,130,1417,639,1212,2708,200
"KLHL9",1473,2465,2325,1696,1467,1845,4686,1574,4299,2135,3206,1855,1718,1570,1989,1814,3036,471,2496,2937,2378,4034,477
"KLK1",215,555,182,15,127,239,544,1216,163,282,86,75,113,53,477,193,236,0,113,100,4633,318,179
"KLK10",394,831,2305,23,0,48,239,549,20,39,54,82,53,190,376,747,47,666,48,317,64,440,1306
"KLK11",106,83,63,0,0,0,647,510,17,35,12,3,137,11,28,38,0,0,0,76,239,41,86
"KLK12",56,36,1,0,1,1,564,311,0,16,9,0,102,50,0,21,3,0,1,0,120,18,0
"KLK13",3,1,9,1,0,0,7,12,0,0,1,0,1,0,0,3,4,0,0,0,39,0,0
